school_name,school_level,class_code,campus_id,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,Mezzanine,UpdatedName
Note: Please complete this survey based only on the spaces your campus is currently occupying and using. Feedback on spaces that will be provided as part of your 2022 Bond phased modernization project will be collected after those spaces have been completed and occupied.,,,,,,,,,,,
DOSS,Elementary School,ELEM,154,,DOSS ES L1.svg,DOSS ES L2.svg,DOSS ES L3.svg,,,,Doss ES
EASTSIDE ECHS,High School,HIGH,142,EASTSIDE ECHS LB.svg,EASTSIDE ECHS L1.svg,EASTSIDE ECHS L2.svg,EASTSIDE ECHS L3.svg,EASTSIDE ECHS L4.svg,,,Eastside ECHS
GALINDO,Elementary School,ELEM,176,,GALINDO ES L1.svg,,,,,,Galindo ES
GARCIA,Middle School,MID,064,,GARCIA YMLA L1.svg,GARCIA YMLA L2.svg,,,,,Garcia YMLA
GARZA,High School,HIGH,015,GARZA INDEPENDENCE HS LB.svg,GARZA INDEPENDENCE HS L1.svg,GARZA INDEPENDENCE HS L2.svg,,,,,Garza Independence HS
GORZYCKI,Middle School,MID,062,,GORZYCHI MS L1.svg,GORZYCHI MS L2.svg,GORZYCHI MS L3.svg,,,,Gorzycki MS
GOVALLE,Elementary School,ELEM,116,,GOVALLE ES L1.svg,GOVALLE ES L2.svg,,,,,Govalle ES
GRAHAM,Elementary School,ELEM,159,,GRAHAM ES B1.svg,GRAHAM ES L1.svg,,,,,Graham ES
GUERRERO THOMPSON,Elementary School,ELEM,186,,GUERRERO THOMPSON ES L1.svg,GUERRERO THOMPSON ES L2.svg,,,,,Guerrero Thompson ES
GULLETT,Elementary School,ELEM,117,,GULLETT ES.svg,,,,,,Gullett ES
HARRIS,Elementary School,ELEM,118,,HARRIS ES L1.svg,HARRIS ES L2.svg,,,,,Harris ES
HART,Elementary School,ELEM,163,,HART ES L1.svg,,,,,,Hart ES
HIGHLAND PARK,Elementary School,ELEM,119,,HIGHLAND PARK ES L1.svg,,,,,,Highland Park ES
HILL,Elementary School,ELEM,155,,HILL ES L1.svg,HILL ES L2.svg,,,,,Hill ES
Note: Please complete this survey based only on the spaces your campus is currently occupying and using. Feedback on spaces that will be provided as part of your 2022 Bond phased modernization project will be collected after those spaces have been completed and occupied.,,,,,,,,,,,
HOUSE PARK,Athletic Facility,ATHLETIC,280,,HOUSE PARK L1.svg,HOUSE PARK L2.svg,HOUSE PARK L3.svg,HOUSE PARK L4.svg,,,House Park
HOUSTON,Elementary School,ELEM,162,HOUSTON ES LB.svg,HOUSTON ES L1.svg,,,,,HOUSTON ES LM.svg,Houston ES
Note: This survey will be distributed later this fall after your campus has had time to occupy and become familiar with its newly modernized spaces delivered in Summer 2026.,,,,,,,,,,,
JORDAN,Elementary School,ELEM,178,,BARBARA JORDAN ES L1.svg,,,,,,Barbara Jordan ES
JOSLIN,Elementary School,ELEM,198,,JOSLIN ES L1.svg,,,,,,Joslin ES
KEALING,Middle School,MID,044,,KEALING MS L1.svg,KEALING MS L2.svg,,,,,Kealing MS
KIKER,Elementary School,ELEM,180,,KIKER ES L1.svg,,,,,,Kiker ES
KOCUREK,Elementary School,ELEM,172,,KOCUREK ES L1.svg,,,,,,Kocurek ES
LAMAR,Middle School,MID,045,,LAMAR MS L1.svg,,,,,,Lamar MS
LANGFORD,Elementary School,ELEM,168,,LANDFORD ES L1.svg,,,,,LANDFORD ES LM.svg,Langford ES
Note: An Educational Suitability Assessment (ESA) and campus survey will be conducted after your full modernization project has been completed and the campus is occupying the new facility.,,,,,,,,,,,
LASA,High School,HIGH,019,,LASA HS L1.svg,LASA HS L2.svg,,,,,LASA HS
LBJ,High School,HIGH,014,LBJ G CT.svg,LBJ 1 CT.svg,LBJ 2 CT.svg,,,,,LBJ ECHS
Note: Please complete this survey based only on the spaces your campus is currently occupying and using. Feedback on spaces that will be provided as part of your 2022 Bond phased modernization project will be collected after those spaces have been completed and occupied.,,,,,,,,,,,
LEE,Elementary School,ELEM,121,,LEE ES L1.svg,LEE ES L2.svg,,,,,Lee ES
LINDER,Elementary School,ELEM,160,LINDER ES LB_updated.svg,LINDER ES L1.svg,,,,,,Linder ES
Note: This survey will be distributed later this fall after your campus has had time to occupy and become familiar with its newly modernized spaces delivered in Summer 2026.,,,,,,,,,,,
LIVELY,Middle School,MID,043,LIVELY MS LB.svg,LIVELY MS L1.svg,LIVELY MS L2.svg,LIVELY MS L3.svg,,,,Lively MS
MAPLEWOOD,Elementary School,ELEM,122,,MAPLEWOOD ES L1.svg,,,,,,Maplewood ES
MARSHALL,Middle School,MID,0,,GENERAL MARSHALL MS L1.svg,GENERAL MARSHALL MS L2.svg,GENERAL MARSHALL MS L3.svg,,,,General Marshall MS
MARTIN,Middle School,MID,051,,MARTIN MS L1.svg,MARTIN MS L2.svg,,,,,Martin MS
Note: An Educational Suitability Assessment (ESA) and campus survey will be conducted once AISD has determined the future use of this facility.,,,,,,,,,,,
MATHEWS,Elementary School,ELEM,123,,MATHEWS ES L1.svg,MATHEWS ES L2.svg,,,,,Mathews ES
MCBEE,Elementary School,ELEM,165,,MCBEE ES.svg,,,,,,Mcbee ES
MCCALLUM,High School,HIGH,005,,MCCALLUM HS L1.svg,,,,,,Mccallum HS
Note: Please complete this survey based only on the spaces your campus is currently occupying and using. Feedback on spaces that will be provided as part of your 2022 Bond phased modernization project will be collected after those spaces have been completed and occupied.,,,,,,,,,,,
MENCHACA,Elementary School,ELEM,147,,MENCHACA ES L1.svg,MENCHACA ES L2.svg,,,,,Menchaca ES
MENDEZ,Middle School,MID,058,,MENDEZ MS L1.svg,MENDEZ MS L2.svg,,,,,Mendez MS
METZ,Elementary School,ELEM,,,METZ ES L1.svg,,,,,,
MILLS,Elementary School,ELEM,181,,MILLS ES L1.svg,MILLS ES L2.svg,,,,,Mills ES
MURCHISON,Middle School,MID,052,,MURCHISON MS L1_updated.svg,MURCHISON MS L2.svg,MURCHISON MS L3_updated.svg,,,,Murchison MS
NAVARRO,High School,HIGH,004,,NAVARRO ECHS L1.svg,NAVARRO ECHS L2.svg,,,,,Navarro ECHS
Note: Please complete this survey based only on the spaces your campus is currently occupying and using. Feedback on spaces that will be provided as part of your 2022 Bond phased modernization project will be collected after those spaces have been completed and occupied.,,,,,,,,,,,
NELSON BUS,District Facility,DISTRICT,959,,NELSON FIELD BUS TERMINAL.svg,,,,,,Nelson Field Bus Terminal
NELSON FIELD,Athletic Facility,ATHLETIC,281,,NELSON FIELD L1.svg,NELSON FIELD L2.svg,NELSON FIELD L3.svg,NELSON FIELD L4.svg,,,Nelson Field
NOACK SPORTS,Athletic Facility,ATHLETIC,950,,1,,,,,,Noack Sports Complex
NORMAN-SIMS,Elementary School,ELEM,150,,NORMAN SIMS ES L1.svg,NORMAN SIMS ES L2.svg,,,,,Norman-Sims ES
NORTHEAST/INTERNATIONAL,High School,HIGH,006,,NORTHEAST ECHS L1.svg,NORTHEAST ECHS L2.svg,,,,,Northeast ECHS
Note: Please complete this survey based only on the spaces your campus is currently occupying and using. Feedback on spaces that will be provided as part of your 2022 Bond phased modernization project will be collected after those spaces have been completed and occupied.,,,,,,,,,,,
O HENRY,Middle School,MID,047,,O.HENRY MS L1.svg,,,,,,O. Henry MS
Note: Please complete this survey based only on the spaces your campus is currently occupying and using. Feedback on spaces that will be provided as part of your 2022 Bond phased modernization project will be collected after those spaces have been completed and occupied.,,,,,,,,,,,
OAK HILL,Elementary School,ELEM,148,,OAK HILL ES L1.svg,,,,,,Oak Hill ES
OAK SPRINGS,Elementary School,ELEM,125,OAK SPRINGS ES LB.svg,OAK SPRINGS ES L1.svg,OAK SPRINGS ES L2.svg,,,,,Oak Springs ES
Note: An Educational Suitability Assessment (ESA) and campus survey will be conducted after your full modernization project has been completed and the campus is occupying the new facility.,,,,,,,,,,,
ODOM,Elementary School,ELEM,156,,ODOM ES.svg,,,,,,Odom ES
ORTEGA,Elementary School,ELEM,126,,ORTEGA ES.svg,,,,,,Ortega ES
OVERTON,Elementary School,ELEM,189,,OVERTON ES L1.svg,OVERTON ES L2.svg,,,,,Overton ES
PAC,District Facility,DISTRICT,954,,PERFORMING ARTS CENTER.svg,,,,,,Performing Arts Center
PADRON,Elementary School,ELEM,188,,PADRON ES L1_updated.svg,PADRON ES L2.svg,,,,,Padron ES
PALM,Elementary School,ELEM,171,,PALM ES.svg,,,,,,Palm ES
PAREDES,Middle School,MID,061,PAREDES MS G1.svg,PAREDES MS L1.svg,PAREDES MS L2.svg,PAREDES MS L3.svg,,,PAREDES MS MZ.svg,Paredes MS
PATTON,Elementary School,ELEM,143,,PATTON ES L1.svg,,,,,,Patton ES
PECAN SPRINGS,Elementary School,ELEM,129,,PECAN SPRINGS ES L1.svg,,,,,,Pecan Springs ES
Note: This survey will be distributed later this fall after your campus has had time to occupy and become familiar with its newly modernized spaces delivered in Summer 2026.,,,,,,,,,,,
PEREZ,Elementary School,ELEM,190,,PEREZ ES.svg,,,,,,Perez ES
PICKLE,Elementary School,ELEM,164,,PICKLE ES.svg,,,,,,Pickle ES
PILLOW,Elementary School,ELEM,151,,PILLOW ES.svg,,,,,,Pillow ES
PLEASANT HILL,Elementary School,ELEM,130,,PLEASANT HILL ES.svg,,,,,,Pleasant Hill ES
REILLY,Elementary School,ELEM,132,,REILLY ES.svg,,,,,,Reilly ES
RICHARDS SYWL,High School,HIGH,028,ANN RICHARDS YWLA BL.svg,ANN RICHARDS YWLA L1.svg,ANN RICHARDS YWLA L2.svg,,,,,Ann Richards SYWL
RIDGETOP,Elementary School,ELEM,133,,RIDGETOP ES L1.svg,,,,,,Ridgetop ES
RODRIGUEZ,Elementary School,ELEM,174,,RODRIGUEZ ES.svg,,,,,,Rodriguez ES
ROSEDALE,Alternative Education,ALT ED 1,251,,ROSEDALE ES L1.svg,ROSEDALE ES L2.svg,,,,,Rosedale School
SADLER MEANS,Middle School,MID,065,,1,,,,,,Bertha Sadler Means YWLA
Note: An Educational Suitability Assessment (ESA) and campus survey will be conducted after your full modernization project has been completed and the campus is occupying the new facility.,,,,,,,,,,,
SAEGERT BUS,District Facility,DISTRICT,960,,SAEGERT BUS TERMINAL.svg,,,,,,Saegert Bus Terminal
SANCHEZ,Elementary School,ELEM,127,,SANCHEZ ES L1.svg,SANCHEZ ES L2.svg,,,,,Sanchez ES
SERVICE CENTER,District Facility,DISTRICT,962,,SERVICE CENTER L1.svg,SERVICE CENTER L2.svg,,,,SERVICE CENTER MZ.svg,Service Center
