Focus Area (Survey),Space Type,School Level,Required,Notes,Focus Area (Scoring),Space Type Weight,Focus Area Weight
Neighborhoods,Small Group Room,HS,Y,Should be assessed per neighborhood,Neighborhood,9,9
Neighborhoods,Large Group Room,HS,Y,Should be assessed per neighborhood,Neighborhood,9,9
Neighborhoods,Neighborhood,HS,Y,Should be assessed per neighborhood,Neighborhood,12,9
Athletics and Wellness,Gym,HS,Y,,Athletics and Wellness,12,9
Athletics and Wellness,Competition Gym,HS,Y,,Athletics and Wellness,9,9
Athletics and Wellness,Locker Room,HS,Y,,Athletics and Wellness,9,9
Athletics and Wellness,Weight Room,HS,Y,,Athletics and Wellness,9,9
Athletics and Wellness,Wrestling,HS,Y,,Athletics and Wellness,6,9
Athletics and Wellness,Athletics Wing,HS,Y,,Athletics and Wellness,6,9
Shared Spaces,Media Center,HS,Y,,Shared Spaces,12,9
Shared Spaces,Food Service,HS,Y,,Shared Spaces,12,9
Shared Spaces,Empower Center,HS,Y,,Shared Spaces,9,9
Outdoor,Outdoor Spaces,HS,Y,,Outdoor Elements,12,9
Outdoor,Outdoor Athletics,HS,Y,,Athletics and Wellness,12,9
