CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,ScoringMode,WeightSource,DisplayOrder,IsActive
CAT-PROFESSIONAL-LEA-OCCUPANT-EXPERIENC-800EC1,Administration,SPT-PROFESSIONAL-LEARNING-CEN-0ADBC4,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-PROFESSIONAL-LEA-AMENITIES-2E0C9E,Administration,SPT-PROFESSIONAL-LEARNING-CEN-0ADBC4,Amenities,12,Scored,EqualWeight,50,True
CAT-PROFESSIONAL-LEA-SIZE-AC989D,Administration,SPT-PROFESSIONAL-LEARNING-CEN-76C438,Size,12,Scored,EqualWeight,10,True
CAT-PROFESSIONAL-LEA-OBSERVATIONAL-736C0F,Administration,SPT-PROFESSIONAL-LEARNING-CEN-76C438,Observational,0,RecordedOnly,EqualWeight_Unscored,20,True
CAT-ENTRY-EXPERIENCE-SIZE-2E591C,Entry Experience,SPT-ENTRY-EXPERIENCE-38315E,Size,12,Scored,EqualWeight,10,True
CAT-ENTRY-EXPERIENCE-INFRASTRUCTURE-C10B90,Entry Experience,SPT-ENTRY-EXPERIENCE-38315E,Infrastructure,12,Scored,EqualWeight,20,True
CAT-ENTRY-EXPERIENCE-OCCUPANT-EXPERIENC-FA0C1D,Entry Experience,SPT-ENTRY-EXPERIENCE-38315E,Occupant Experience,12,Scored,EqualWeight,30,True
CAT-SCIENCE-SIZE-72AA27,Studios,SPT-SCIENCE-2593B2,Size,12,Scored,EqualWeight,10,True
CAT-SCIENCE-FUNCTION-C8A627,Studios,SPT-SCIENCE-2593B2,Function,12,Scored,EqualWeight,20,True
CAT-SCIENCE-INFRASTRUCTURE-A50DB7,Studios,SPT-SCIENCE-2593B2,Infrastructure,12,Scored,EqualWeight,30,True
CAT-SCIENCE-OCCUPANT-EXPERIENC-CD54A1,Studios,SPT-SCIENCE-2593B2,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-SCIENCE-AMENITIES-30C28C,Studios,SPT-SCIENCE-2593B2,Amenities,12,Scored,EqualWeight,50,True
CAT-SCIENCE-LAB-SIZE-78F56E,Studios,SPT-SCIENCE-LAB-0CF368,Size,12,Scored,EqualWeight,10,True
CAT-SCIENCE-LAB-OBSERVATIONAL-3A1458,Studios,SPT-SCIENCE-LAB-0CF368,Observational,0,RecordedOnly,EqualWeight_Unscored,20,True
CAT-SCIENCE-PREP-ROO-SIZE-899FA4,Studios,SPT-SCIENCE-PREP-ROOM-C6879C,Size,12,Scored,EqualWeight,10,True
CAT-SCIENCE-PREP-ROO-FUNCTION-D23DB5,Studios,SPT-SCIENCE-PREP-ROOM-C6879C,Function,12,Scored,EqualWeight,20,True
CAT-SCIENCE-PREP-ROO-AMENITIES-E4239A,Studios,SPT-SCIENCE-PREP-ROOM-C6879C,Amenities,12,Scored,EqualWeight,30,True
CAT-SCIENCE-PREP-ROO-OCCUPANT-EXPERIENC-454FB4,Studios,SPT-SCIENCE-PREP-ROOM-C6879C,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-SCIENCE-PREP-ROO-INFRASTRUCTURE-2BA939,Studios,SPT-SCIENCE-PREP-ROOM-C6879C,Infrastructure,12,Scored,EqualWeight,50,True
CAT-MAIN-ADMIN-SUITE-SIZE-3CE30C,Administration,SPT-MAIN-ADMIN-SUITE-7A49F7,Size,12,Scored,EqualWeight,10,True
CAT-MAIN-ADMIN-SUITE-OCCUPANT-EXPERIENC-BDC2FB,Administration,SPT-MAIN-ADMIN-SUITE-7A49F7,Occupant Experience,12,Scored,EqualWeight,20,True
CAT-MAIN-ADMIN-SUITE-FUNCTION-4C1374,Administration,SPT-MAIN-ADMIN-SUITE-7A49F7,Function,12,Scored,EqualWeight,30,True
CAT-MAIN-ADMIN-SUITE-AMENITIES-3DF897,Administration,SPT-MAIN-ADMIN-SUITE-7A49F7,Amenities,12,Scored,EqualWeight,40,True
CAT-MAIN-ADMIN-SUITE-INFRASTRUCTURE-41F679,Administration,SPT-MAIN-ADMIN-SUITE-7A49F7,Infrastructure,12,Scored,EqualWeight,50,True
CAT-EARLY-CHILDHOOD--SIZE-2A9660,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Size,12,Scored,EqualWeight,10,True
CAT-EARLY-CHILDHOOD--FUNCTION-AAC7F0,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Function,12,Scored,EqualWeight,20,True
CAT-EARLY-CHILDHOOD--INFRASTRUCTURE-D344B8,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Infrastructure,12,Scored,EqualWeight,30,True
CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENC-CDD579,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-EARLY-CHILDHOOD--AMENITIES-660B5D,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Amenities,12,Scored,EqualWeight,50,True
CAT-EARLY-CHILDHOOD--OBSERVATIONAL-857AF7,Studios,SPT-EARLY-CHILDHOOD-STUDIO-49159F,Observational,0,RecordedOnly,EqualWeight_Unscored,60,True
CAT-EARLY-CHILDHOOD--SIZE-11C981,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-E-0E3811,Size,12,Scored,EqualWeight,10,True
CAT-EARLY-CHILDHOOD--FUNCTION-7CA275,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-E-0E3811,Function,12,Scored,EqualWeight,20,True
CAT-EARLY-CHILDHOOD--INFRASTRUCTURE-563F10,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-E-0E3811,Infrastructure,12,Scored,EqualWeight,30,True
CAT-EARLY-CHILDHOOD--OCCUPANT-EXPERIENC-D6C864,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-E-0E3811,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-EARLY-CHILDHOOD--AMENITIES-DFA778,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-E-0E3811,Amenities,12,Scored,EqualWeight,50,True
CAT-EARLY-CHILDHOOD--SIZE-F5AA0F,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-E-77C06E,Size,12,Scored,EqualWeight,10,True
CAT-EARLY-CHILDHOOD--OBSERVATIONAL-72495F,Special Education,SPT-EARLY-CHILDHOOD-SPECIAL-E-77C06E,Observational,0,RecordedOnly,EqualWeight_Unscored,20,True
CAT-MAKER-SPACE-SIZE-A2631E,Studios,SPT-MAKER-SPACE-57653D,Size,12,Scored,EqualWeight,10,True
CAT-MAKER-SPACE-FUNCTION-B02A23,Studios,SPT-MAKER-SPACE-57653D,Function,12,Scored,EqualWeight,20,True
CAT-MAKER-SPACE-INFRASTRUCTURE-BC734F,Studios,SPT-MAKER-SPACE-57653D,Infrastructure,12,Scored,EqualWeight,30,True
CAT-MAKER-SPACE-OCCUPANT-EXPERIENC-15ABA2,Studios,SPT-MAKER-SPACE-57653D,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-MAKER-SPACE-AMENITIES-674FB8,Studios,SPT-MAKER-SPACE-57653D,Amenities,12,Scored,EqualWeight,50,True
CAT-MAKER-SPACE-OBSERVATIONAL-C2E279,Studios,SPT-MAKER-SPACE-57653D,Observational,0,RecordedOnly,EqualWeight_Unscored,60,True
CAT-SPECIAL-EDUCATIO-SIZE-A0F7E1,Special Education,SPT-SPECIAL-EDUCATION-SUITE-87FB39,Size,12,Scored,EqualWeight,10,True
CAT-SPECIAL-EDUCATIO-FUNCTION-121105,Special Education,SPT-SPECIAL-EDUCATION-SUITE-87FB39,Function,12,Scored,EqualWeight,20,True
CAT-SPECIAL-EDUCATIO-OCCUPANT-EXPERIENC-F8A138,Special Education,SPT-SPECIAL-EDUCATION-SUITE-87FB39,Occupant Experience,12,Scored,EqualWeight,30,True
CAT-SPECIAL-EDUCATIO-AMENITIES-98B47A,Special Education,SPT-SPECIAL-EDUCATION-SUITE-87FB39,Amenities,12,Scored,EqualWeight,40,True
CAT-SENSORY-MOTOR-LA-SIZE-FC32DD,Special Education,SPT-SENSORY-MOTOR-LAB-3CE0F0,Size,12,Scored,EqualWeight,10,True
CAT-SENSORY-MOTOR-LA-FUNCTION-450000,Special Education,SPT-SENSORY-MOTOR-LAB-3CE0F0,Function,12,Scored,EqualWeight,20,True
CAT-SENSORY-MOTOR-LA-INFRASTRUCTURE-D6E8FC,Special Education,SPT-SENSORY-MOTOR-LAB-3CE0F0,Infrastructure,12,Scored,EqualWeight,30,True
CAT-SENSORY-MOTOR-LA-OCCUPANT-EXPERIENC-804C02,Special Education,SPT-SENSORY-MOTOR-LAB-3CE0F0,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-SENSORY-MOTOR-LA-AMENITIES-A06644,Special Education,SPT-SENSORY-MOTOR-LAB-3CE0F0,Amenities,12,Scored,EqualWeight,50,True
CAT-SENSORY-MOTOR-LA-SIZE-4759FE,Special Education,SPT-SENSORY-MOTOR-LAB-EB0A18,Size,12,Scored,EqualWeight,10,True
CAT-SENSORY-MOTOR-LA-OBSERVATIONAL-FDF25B,Special Education,SPT-SENSORY-MOTOR-LAB-EB0A18,Observational,0,RecordedOnly,EqualWeight_Unscored,20,True
CAT-LIFE-SKILLS-STUD-SIZE-BF1F48,Special Education,SPT-LIFE-SKILLS-STUDIO-923127,Size,12,Scored,EqualWeight,10,True
CAT-LIFE-SKILLS-STUD-FUNCTION-AFE64A,Special Education,SPT-LIFE-SKILLS-STUDIO-923127,Function,12,Scored,EqualWeight,20,True
CAT-LIFE-SKILLS-STUD-INFRASTRUCTURE-0E8C23,Special Education,SPT-LIFE-SKILLS-STUDIO-923127,Infrastructure,12,Scored,EqualWeight,30,True
CAT-LIFE-SKILLS-STUD-OCCUPANT-EXPERIENC-821598,Special Education,SPT-LIFE-SKILLS-STUDIO-923127,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-LIFE-SKILLS-STUD-AMENITIES-406D9A,Special Education,SPT-LIFE-SKILLS-STUDIO-923127,Amenities,12,Scored,EqualWeight,50,True
CAT-VOCATIONAL-LAB-SIZE-A379BF,Special Education,SPT-VOCATIONAL-LAB-534CA6,Size,12,Scored,EqualWeight,10,True
CAT-VOCATIONAL-LAB-FUNCTION-8CF6F5,Special Education,SPT-VOCATIONAL-LAB-534CA6,Function,12,Scored,EqualWeight,20,True
CAT-VOCATIONAL-LAB-INFRASTRUCTURE-6D0F73,Special Education,SPT-VOCATIONAL-LAB-534CA6,Infrastructure,12,Scored,EqualWeight,30,True
CAT-VOCATIONAL-LAB-OCCUPANT-EXPERIENC-77F7A2,Special Education,SPT-VOCATIONAL-LAB-534CA6,Occupant Experience,12,Scored,EqualWeight,40,True
CAT-VOCATIONAL-LAB-AMENITIES-93289B,Special Education,SPT-VOCATIONAL-LAB-534CA6,Amenities,12,Scored,EqualWeight,50,True
CAT-VOCATIONAL-LAB-SIZE-3236D2,Special Education,SPT-VOCATIONAL-LAB-66AA8F,Size,12,Scored,EqualWeight,10,True
CAT-VOCATIONAL-LAB-OBSERVATIONAL-0A661B,Special Education,SPT-VOCATIONAL-LAB-66AA8F,Observational,0,RecordedOnly,EqualWeight_Unscored,20,True
