OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-CP-002-01,CP-002,CP-002a,The suite is accessible directly from the secure vestibule without requiring travel through the building,1,SingleResponse,SR-CP-002-CP-002A,False,10,True
OPT-CP-002-02,CP-002,CP-002b,The suite can be locked when not in use,1,SingleResponse,SR-CP-002-CP-002B,False,20,True
OPT-CP-002-03,CP-002,CP-002c,The suite can be used before and after school hours without providing access to the rest of the building,1,SingleResponse,SR-CP-002-CP-002C,False,30,True
OPT-CP-003-01,CP-003,CP-003a,The suite entrance and a portion of the interior are visible from reception,1,SingleResponse,SR-CP-003-CP-003A,False,10,True
OPT-CP-003-02,CP-003,CP-003a,The suite entrance is visible from reception,0.5,SingleResponse,SR-CP-003-CP-003A,False,20,True
OPT-CP-003-03,CP-003,CP-003a,The suite is not visible from reception,,SingleResponse,SR-CP-003-CP-003A,False,30,True
OPT-CP-003-04,CP-003,CP-003a,Unable to assess (note reason),,SingleResponse,SR-CP-003-CP-003A,True,40,True
OPT-CP-004-01,CP-004,CP-004a,Admin office (intended for parent support specialist),1,SingleResponse,SR-CP-004-CP-004A,False,10,True
OPT-CP-004-02,CP-004,CP-004b,Conference room,1,SingleResponse,SR-CP-004-CP-004B,False,20,True
OPT-CP-004-03,CP-004,CP-004c,Community room,1,SingleResponse,SR-CP-004-CP-004C,False,30,True
OPT-CP-004-04,CP-004,CP-004d,Professional learning center (PLC),1,SingleResponse,SR-CP-004-CP-004D,False,40,True
OPT-CP-004-05,CP-004,CP-004e,"Small group room (i.e., capacity for 3-5 people)",1,SingleResponse,SR-CP-004-CP-004E,False,50,True
OPT-CP-004-06,CP-004,CP-004f,Family restroom,1,SingleResponse,SR-CP-004-CP-004F,False,60,True
OPT-CP-004-07,CP-004,CP-004g,Baby changing station inside family restroom,1,SingleResponse,SR-CP-004-CP-004G,False,70,True
OPT-CP-005-01,CP-005,CP-005a,Admin office (intended for parent support specialist),1,SingleResponse,SR-CP-005-CP-005A,False,10,True
OPT-CP-005-02,CP-005,CP-005b,Conference room,1,SingleResponse,SR-CP-005-CP-005B,False,20,True
OPT-CP-005-03,CP-005,CP-005c,Community room,1,SingleResponse,SR-CP-005-CP-005C,False,30,True
OPT-CP-005-04,CP-005,CP-005d,Professional learning center (PLC),1,SingleResponse,SR-CP-005-CP-005D,False,40,True
OPT-CP-005-05,CP-005,CP-005e,Family restroom,1,SingleResponse,SR-CP-005-CP-005E,False,50,True
OPT-CP-005-06,CP-005,CP-005f,Baby changing station inside family restroom,1,SingleResponse,SR-CP-005-CP-005F,False,60,True
OPT-CP-006-01,CP-006,CP-006a,0,0,SingleResponse,SR-CP-006-CP-006A,False,10,True
OPT-CP-006-02,CP-006,CP-006a,1,0.5,SingleResponse,SR-CP-006-CP-006A,False,20,True
