OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-PL-006-02,PL-006,PL-006i,Only clerestory windows are provided,,Inventory,INV-PL-006-PL-006I,False,20,True
OPT-PL-007-01,PL-007,PL-007a,1,0,SingleResponse,SR-PL-007-PL-007A,False,10,True
OPT-PL-007-02,PL-007,PL-007a,2,0.5,SingleResponse,SR-PL-007-PL-007A,False,20,True
OPT-PL-007-03,PL-007,PL-007a,3+,1,SingleResponse,SR-PL-007-PL-007A,False,30,True
OPT-PL-008-01,PL-008,PL-008a,Roller shades are provided,1,SingleResponse,SR-PL-008-PL-008A,False,10,True
OPT-PL-008-02,PL-008,PL-008a,Mini-blinds are provided,,SingleResponse,SR-PL-008-PL-008A,False,20,True
OPT-PL-008-03,PL-008,PL-008a,Other (please note),0,SingleResponse,SR-PL-008-PL-008A,False,30,True
OPT-PL-008-04,PL-008,PL-008a,No window coverings are provided,0,SingleResponse,SR-PL-008-PL-008A,False,40,True
OPT-PL-008-05,PL-008,PL-008a,Unable to assess (note reason),,SingleResponse,SR-PL-008-PL-008A,True,50,True
OPT-PL-009-01,PL-009,PL-009i,Built-in casework is provided,,Inventory,INV-PL-009-PL-009I,False,10,True
OPT-PL-009-02,PL-009,PL-009i,Counter space is provided,,Inventory,INV-PL-009-PL-009I,False,20,True
