Focus Area,Space Type,School Level,Required,Minimum Surveys,Focus Area (Scoring),Space Type Weight,Focus Area Weight,Score Code
Visual Arts,Digital Art Studio,HS,Y,1,Visual Arts,12,9,DI
CTE,CTE Studio,HS,Y,4,CTE,12,9,CT
CTE,Low Intensity Lab,HS,Y,1,CTE,9,9,CL
CTE,Medium Intensity Lab,HS,Y,1,CTE,9,9,CM
CTE,High Intensity Lab,HS,Y,1,CTE,9,9,CH
Performing Arts,Rehersal Hall,HS,Y,2,Performing Arts,12,9,RH
Performing Arts,Music Suite,HS,Y,1,Performing Arts,3,9,MT
Performing Arts,Theater Arts Studio,HS,Y,1,Performing Arts,12,9,TA
Performing Arts,Black Box,HS,Y,1,Performing Arts,3,9,BB
Performing Arts,Auditorium,HS,Y,1,Performing Arts,3,9,AU
Performing Arts,Dance,HS,Y,1,Performing Arts,3,9,DA
Performing Arts,Theater Arts Suite,HS,Y,2,Performing Arts,3,9,TS
Neighborhoods,Open Collaboration,HS,Y,8,Neighborhoods,12,9,OC
Neighborhoods,Group Room,HS,Y,8,Neighborhoods,9,9,SG
Neighborhoods,Neighborhood,HS,Y,8,Neighborhoods,12,9,NE
Athletics and Wellness,Multi-Purpose Gym,HS,Y,1,Athletics and Wellness,12,9,MG
Athletics and Wellness,Competition Gym,HS,Y,1,Athletics and Wellness,9,9,CG
Athletics and Wellness,Locker Room,HS,Y,1,Athletics and Wellness,9,9,LR
Athletics and Wellness,Weight Room,HS,Y,1,Athletics and Wellness,9,9,WE
Athletics and Wellness,Wrestling,HS,Y,1,Athletics and Wellness,6,9,WR
Athletics and Wellness,PE Fitness Room,HS,Y,2,Athletics and Wellness,7,9,PF
Athletics and Wellness,Athletics Wing,HS,Y,1,Athletics and Wellness,6,9,AT
Shared Spaces,Library Media Center,HS,Y,1,Shared Spaces,12,9,MC
Shared Spaces,Dining Commons,HS,Y,1,Shared Spaces,12,9,FS
Shared Spaces,Kitchen,HS,Y,1,Shared Spaces,6,9,KI
Shared Spaces,Empower Center,HS,Y,1,Shared Spaces,9,9,EC
Outdoor,Outdoor Spaces,HS,Y,1,Outdoor,12,9,OS
Outdoor,Outdoor Athletics,HS,Y,1,Athletics and Wellness,12,9,OA
Neighborhoods,Large Group Room,MS,N,0,Neighborhoods,3,9,LG
Neighborhoods,Large Group Room,HS,Y,8,Neighborhoods,9,9,LG
