CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,WeightSource,DisplayOrder,IsActive
CAT-DIGITAL-ARTS-STUDI-SIZE-DC1EA5,Studios,SPT-DIGITAL-ARTS-STUDIO-9AC3E8,Size,12,Assumed,10,True
CAT-THEATER-ARTS-STUDI-SIZE-F65EB9,Performing Arts,SPT-THEATER-ARTS-STUDIO-66AF54,Size,12,Assumed,10,True
CAT-THEATER-ARTS-SUITE-SIZE-16F439,Performing Arts,SPT-THEATER-ARTS-SUITE-E7A662,Size,12,Assumed,10,True
CAT-AUDITORIUM-SIZE-3130FB,Performing Arts,SPT-AUDITORIUM-A69CC4,Size,12,Assumed,10,True
CAT-BLACK-BOX-SIZE-65B5D6,Performing Arts,SPT-BLACK-BOX-AFA947,Size,12,Assumed,10,True
CAT-DANCE-SIZE-B72919,Performing Arts,SPT-DANCE-9926FD,Size,12,Assumed,10,True
CAT-MUSIC-STUDIO-SIZE-0A4E2C,Studios,SPT-MUSIC-STUDIO-7170B4,Size,12,Assumed,10,True
CAT-MUSIC-SUITE-SIZE-B761A0,Performing Arts,SPT-MUSIC-SUITE-96730D,Size,12,Assumed,10,True
CAT-REHEARSAL-HALL-SIZE-26720F,Performing Arts,SPT-REHEARSAL-HALL-4608D6,Size,12,Assumed,10,True
CAT-CAMPUS-SIZE-96DBB5,Closeout,SPT-CAMPUS-8C248A,Size,12,Assumed,10,True
CAT-OUTDOOR-ENTRY-SIZE-E11C61,Closeout,SPT-OUTDOOR-ENTRY-481ED6,Size,12,Assumed,10,True
CAT-PARKING-LOT-SIZE-BB1D60,Closeout,SPT-PARKING-LOT-E557D2,Size,12,Assumed,10,True
CAT-SITE-SIZE-3DD639,Closeout,SPT-SITE-5D8E29,Size,12,Assumed,10,True
CAT-TRADITIONAL-STUD-FUNCTION-C2728B,Studios,SPT-TRADITIONAL-STUDIO-78A63C,Function,12,Source,20,True
CAT-TRADITIONAL-STUD-INFRASTRUCTURE-7AEF91,Studios,SPT-TRADITIONAL-STUDIO-78A63C,Infrastructure,6,Source,30,True
CAT-TRADITIONAL-STUD-OCCUPANT-EXPERIENCE-508DFE,Studios,SPT-TRADITIONAL-STUDIO-78A63C,Occupant Experience,12,Source,40,True
CAT-TRADITIONAL-STUD-AMENITIES-A087E1,Studios,SPT-TRADITIONAL-STUDIO-78A63C,Amenities,9,Source,50,True
CAT-OUTDOOR-SPACES-AMENITIES-A3092F,Outdoor,SPT-OUTDOOR-SPACES-F4EC64,Amenities,12,Source,20,True
CAT-OUTDOOR-SPACES-OCCUPANT-EXPERIENCE-81CB5D,Outdoor,SPT-OUTDOOR-SPACES-F4EC64,Occupant Experience,12,Source,30,True
CAT-OUTDOOR-SPACES-FUNCTION-7C11D1,Outdoor,SPT-OUTDOOR-SPACES-F4EC64,Function,12,Source,40,True
