OptionID,QuestionID,SourceScoreID,ResponseOption,OptionScore,ItemScoringMode,ScoreGroupID,IsExclusionOption,DisplayOrder,IsActive
OPT-ST-009-MS-HS-07,ST-009-MS-HS,ST-009a,Unable to assess (note reason),,SingleResponse,SR-ST-009-MS-HS-ST-009A,True,70,True
OPT-ST-010-01,ST-010,ST-010i,Tackstrip,,Inventory,INV-ST-010-ST-010I,False,10,True
OPT-ST-010-02,ST-010,ST-010i,Tackboard,,Inventory,INV-ST-010-ST-010I,False,20,True
OPT-ST-010-03,ST-010,ST-010i,Tackwall,,Inventory,INV-ST-010-ST-010I,False,30,True
OPT-ST-010-04,ST-010,ST-010i,Magnetic markerboard,,Inventory,INV-ST-010-ST-010I,False,40,True
OPT-ST-011-01,ST-011,ST-011a,None,0,SingleResponse,SR-ST-011-ST-011A,False,10,True
OPT-ST-011-02,ST-011,ST-011a,<4 linear feet,0.33,SingleResponse,SR-ST-011-ST-011A,False,20,True
OPT-ST-011-03,ST-011,ST-011a,4 to <8 linear feet,0.66,SingleResponse,SR-ST-011-ST-011A,False,30,True
OPT-ST-011-04,ST-011,ST-011a,8+ linear feet,1,SingleResponse,SR-ST-011-ST-011A,False,40,True
OPT-ST-011-05,ST-011,ST-011a,Unable to assess (note reason),,SingleResponse,SR-ST-011-ST-011A,True,50,True
OPT-ST-012-01,ST-012,ST-012a,0,0,SingleResponse,SR-ST-012-ST-012A,False,10,True
OPT-ST-012-02,ST-012,ST-012a,1-2,0.25,SingleResponse,SR-ST-012-ST-012A,False,20,True
OPT-ST-012-03,ST-012,ST-012a,3-4,0.5,SingleResponse,SR-ST-012-ST-012A,False,30,True
OPT-ST-012-04,ST-012,ST-012a,5-7,0.75,SingleResponse,SR-ST-012-ST-012A,False,40,True
OPT-ST-012-05,ST-012,ST-012a,8+,1,SingleResponse,SR-ST-012-ST-012A,False,50,True
OPT-ST-013-01,ST-013,ST-013a,0,0,SingleResponse,SR-ST-013-ST-013A,False,10,True
OPT-ST-013-02,ST-013,ST-013a,1,0.25,SingleResponse,SR-ST-013-ST-013A,False,20,True
OPT-ST-013-03,ST-013,ST-013a,2,0.5,SingleResponse,SR-ST-013-ST-013A,False,30,True
OPT-ST-013-04,ST-013,ST-013a,3,0.75,SingleResponse,SR-ST-013-ST-013A,False,40,True
OPT-ST-013-05,ST-013,ST-013a,4,1,SingleResponse,SR-ST-013-ST-013A,False,50,True
OPT-ST-014-01,ST-014,ST-014a,0,0,SingleResponse,SR-ST-014-ST-014A,False,10,True
OPT-ST-014-02,ST-014,ST-014a,1,0.25,SingleResponse,SR-ST-014-ST-014A,False,20,True
OPT-ST-014-03,ST-014,ST-014a,2,0.5,SingleResponse,SR-ST-014-ST-014A,False,30,True
OPT-ST-014-04,ST-014,ST-014a,3,0.75,SingleResponse,SR-ST-014-ST-014A,False,40,True
OPT-ST-014-05,ST-014,ST-014a,4,1,SingleResponse,SR-ST-014-ST-014A,False,50,True
OPT-ST-015-01,ST-015,ST-015a,A thermostat is provided that has adjustable temperature controls,1,SingleResponse,SR-ST-015-ST-015A,False,10,True
OPT-ST-015-02,ST-015,ST-015a,A thermostat is provided that does not have adjustable temperature controls,0.5,SingleResponse,SR-ST-015-ST-015A,False,20,True
OPT-ST-015-03,ST-015,ST-015a,Only a temperature sensor is provided,0,SingleResponse,SR-ST-015-ST-015A,False,30,True
OPT-ST-015-04,ST-015,ST-015a,No thermostat or sensor is present in the space,0,SingleResponse,SR-ST-015-ST-015A,False,40,True
OPT-ST-016-01,ST-016,ST-016a,Yes,1,SingleResponse,SR-ST-016-ST-016A,False,10,True
OPT-ST-016-02,ST-016,ST-016a,No,0,SingleResponse,SR-ST-016-ST-016A,False,20,True
OPT-ST-016-03,ST-016,ST-016a,Unable to assess (note reason),,SingleResponse,SR-ST-016-ST-016A,True,30,True
OPT-ST-017-01,ST-017,ST-017i,Interior window,,Inventory,INV-ST-017-ST-017I,False,10,True
OPT-ST-017-02,ST-017,ST-017i,Sidelight,,Inventory,INV-ST-017-ST-017I,False,20,True
OPT-ST-017-03,ST-017,ST-017i,"Door panel (i.e., glass panel in the door)",,Inventory,INV-ST-017-ST-017I,False,30,True
