SurveyID,SurveyName,SurveyFocusArea,Description,DisplayOrder,IsActive
SRV-STUDIOS,Studios Survey,Studios,Field assessment survey for the Studios focus area.,10,True
SRV-OUTDOOR,Outdoor Survey,Outdoor,Field assessment survey for the Outdoor focus area.,20,True
