CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,DisplayOrder,IsActive
CAT-TRADITIONAL-S-FUNCTION,Studios,SPT-TRADITIONAL-STUDIO,Function,12,10,True
CAT-TRADITIONAL-S-INFRASTRUCTURE,Studios,SPT-TRADITIONAL-STUDIO,Infrastructure,6,20,True
CAT-TRADITIONAL-S-OCCUPANT-EXPERIENCE,Studios,SPT-TRADITIONAL-STUDIO,Occupant Experience,12,30,True
CAT-TRADITIONAL-S-AMENITIES,Studios,SPT-TRADITIONAL-STUDIO,Amenities,12,40,True
CAT-TRADITIONAL-S-SIZE,Studios,SPT-TRADITIONAL-STUDIO,Size,12,50,True
CAT-OUTDOOR-SPACE-AMENITIES,Outdoor,SPT-OUTDOOR-SPACES,Amenities,9,10,True
CAT-OUTDOOR-SPACE-OCCUPANT-EXPERIENCE,Outdoor,SPT-OUTDOOR-SPACES,Occupant Experience,12,20,True
CAT-OUTDOOR-SPACE-FUNCTION,Outdoor,SPT-OUTDOOR-SPACES,Function,12,30,True
CAT-OUTDOOR-SPACE-INFRASTRUCTURE,Outdoor,SPT-OUTDOOR-SPACES,Infrastructure,9,40,True
